City,City,Clouds,Humidity,Lat,Lon,Temp,Wind
0,fare,68,100,-16.7,-151.02,82.07,13.67
1,vaini,8,65,15.34,74.49,64.97,2.48
2,seoul,1,37,37.57,126.98,18.48,2.24
3,east london,0,93,-33.02,27.91,74.15,23.51
4,olga,1,26,34.11,-118.17,57.85,1.7
5,hithadhoo,8,100,-0.6,73.08,83.51,6.96
6,bredasdorp,32,77,-34.53,20.04,64.4,9.17
7,avarua,24,100,-21.21,-159.78,82.34,8.08
8,ushuaia,40,66,-54.81,-68.31,50.0,5.82
9,yellowknife,75,74,62.45,-114.38,-22.01,5.82
10,qaanaaq,48,84,77.48,-69.36,-2.67,7.4
11,dukat,8,78,42.44,22.31,20.46,2.71
12,palmer,90,87,61.6,-149.11,26.4,2.59
13,punta arenas,88,100,-53.16,-70.91,48.27,19.6
14,khatanga,68,81,71.98,102.47,-18.06,17.47
15,svetlogorsk,90,76,53.14,59.15,-4.01,8.95
16,nikolskoye,90,92,59.7,30.79,30.2,6.71
17,malpe,20,78,13.35,74.72,75.2,4.7
18,hermanus,36,92,-34.42,19.24,58.4,2.93
19,port alfred,0,80,-33.59,26.89,71.99,11.77
20,kaeo,64,58,-35.1,173.78,73.16,16.58
21,pisco,80,86,-13.71,-76.2,72.17,2.59
22,georgetown,92,89,6.8,-58.16,75.86,6.4
23,kiama,0,55,-34.67,150.86,86.0,6.93
24,orangeburg,1,61,33.49,-80.86,68.43,6.93
25,college,20,91,64.86,-147.8,16.68,6.17
26,zaria,0,48,11.11,7.72,50.3,6.17
27,sainte-maxime,8,100,43.31,6.64,43.99,12.75
28,porto novo,48,100,-23.68,-45.44,63.48,2.71
29,busselton,0,82,-33.64,115.35,74.42,18.92
30,mahibadhoo,68,100,3.78,72.97,81.84,8.63
31,butaritari,64,98,3.07,172.79,84.86,19.71
32,anadyr,75,84,64.73,177.51,6.8,13.42
33,canton,90,96,40.8,-81.38,54.88,6.93
34,pangnirtung,48,59,66.15,-65.72,-12.48,0.58
35,korsakov,20,64,46.63,142.78,-4.01,17.9
36,itabera,0,95,-23.86,-49.14,65.28,6.73
37,longyearbyen,48,82,78.22,15.63,14.07,6.06
38,kahului,40,58,20.89,-156.47,77.9,11.41
39,yumen,64,95,40.29,97.04,10.52,8.41
40,khingansk,0,43,49.12,131.18,-6.9,7.63
41,mataura,32,45,-46.19,168.86,78.78,13.44
42,lagoa,0,93,37.14,-8.45,48.2,2.24
43,kavaratti,64,100,10.57,72.64,82.07,16.69
44,saskylakh,76,75,71.97,114.09,-6.72,21.61
45,lompoc,1,58,34.64,-120.46,53.33,8.05
46,saint anthony,20,69,43.97,-111.68,7.74,5.06
47,narsaq,88,86,60.91,-46.05,26.6,3.36
48,tasiilaq,12,100,65.61,-37.64,12.18,21.27
49,san luis,0,36,-33.3,-66.34,82.02,13.78
50,albany,90,75,42.65,-73.75,38.43,9.17
51,tianpeng,92,100,28.88,112.34,36.17,12.66
52,sao gabriel da cachoeira,36,96,-0.13,-67.09,72.66,1.92
53,codrington,75,74,-28.95,153.24,81.55,5.82
54,bluff,76,58,-23.58,149.07,82.34,13.67
55,kavieng,64,100,-2.57,150.8,82.11,14.45
56,saint-pierre,75,93,48.95,4.24,41.65,12.75
57,victoria,75,83,5.28,115.24,84.2,3.36
58,rikitea,8,96,-23.12,-134.97,82.92,12.1
59,kaitangata,24,67,-46.28,169.85,70.32,7.29
60,hobart,40,37,-42.88,147.33,69.8,20.8
61,jamestown,44,84,-33.21,138.6,67.22,11.88
62,tiksi,64,70,71.64,128.87,-5.46,8.3
63,ixtapa,48,87,20.71,-105.21,63.89,1.92
64,tuktoyaktuk,20,75,69.44,-133.03,-14.81,21.92
65,port hedland,48,59,-20.31,118.58,91.4,6.93
66,valdivia,56,53,-39.81,-73.25,59.97,7.18
67,vigrestad,92,100,58.57,5.7,31.31,2.04
68,sao filipe,0,97,14.9,-24.5,71.22,9.98
69,westport,92,96,53.8,-9.52,48.81,26.19
70,thompson,20,76,55.74,-97.86,-9.41,5.82
71,puerto ayora,0,100,-0.74,-90.35,79.77,7.96
72,ambikapur,92,100,23.12,83.2,61.14,3.15
73,santa vitoria do palmar,0,91,-33.52,-53.37,71.31,10.98
74,balikpapan,0,99,-1.24,116.86,84.36,5.95
75,machilipatnam,75,94,16.18,81.14,71.6,6.06
76,ilulissat,44,78,69.22,-51.1,12.2,3.36
77,ponta do sol,76,99,-20.63,-46.0,64.02,3.27
78,fortuna,0,81,38.18,-1.13,47.32,2.24
79,idil,92,95,37.34,41.89,43.23,11.21
80,waddan,0,80,29.16,16.14,34.14,4.94
81,souillac,0,93,45.6,-0.6,44.6,8.05
82,brae,0,93,60.4,-1.35,39.51,11.41
83,hasaki,75,44,35.73,140.83,40.05,11.41
84,kodiak,1,39,39.95,-94.76,11.01,18.34
85,sampit,64,93,-2.54,112.95,82.07,4.38
